"Country","Region","Hrank","Hscore","GDP","Family","Life","Freedom","Corruption","Generosity"
"Austria","Europe",12,7.119,1.45038,1.08383,0.80565,0.54355,0.22348,0.32865
"Germany","Europe",16,6.994,1.44787,1.09774,0.81487,0.53466,0.29551,0.30452
"Belgium","Europe",18,6.929,1.42539,1.05249,0.81959,0.51354,0.27248,0.2424
"Ireland","Europe",19,6.907,1.48341,1.16157,0.81455,0.54008,0.30754,0.44963
"Luxembourg","Europe",20,6.871,1.69752,1.03999,0.84542,0.5487,0.36329,0.27571
"United Kingdom","Europe",23,6.725,1.40283,1.08672,0.80991,0.50036,0.28399,0.50156
"Malta","Europe",30,6.488,1.30782,1.09879,0.80315,0.54994,0.18554,0.56237
"France","Europe",32,6.478,1.39488,1.00508,0.83795,0.46562,0.18808,0.1216
"Spain","Europe",37,6.361,1.34253,1.12945,0.87896,0.37545,0.07137,0.17665
"Italy","Europe",50,5.977,1.35495,1.04167,0.85102,0.18827,0.03556,0.16684
"North Cyprus","Europe",62,5.771,1.31141,0.81826,0.84142,0.43596,0.17578,0.26322
"Cyprus","Europe",69,5.546,1.31857,0.70697,0.8488,0.29507,0.06228,0.27906
"Portugal","Europe",94,5.123,1.27607,0.94367,0.79363,0.44727,0.02521,0.11691
"Greece","Europe",99,5.033,1.24886,0.75473,0.80029,0.05822,0.05127,0
