Season,Name,W,L,SV,G,GS,IP,K9,BB9,HR9,BABIP,LOB,GB,HRFB,ERA,FIP,xFIP,WAR,playerid
2002,Jorge Sosa,2,7,0,14,14,74.1,4.6,5.09,1.57,0.215,0.634,0.336,0.1200 ,5.81,5.95,5.69,-0.2,1228
2007,Casey Fossum,3,5,0,10,10,51.1,5.26,2.81,1.93,0.341,0.565,0.466,0.1830 ,7.89,6.14,4.82,-0.3,188
1998,Rick White,0,3,0,3,3,14.1,4.4,6.28,2.51,0.267,0.748,,,6.91,8.09,,-0.3,456
2002,Luis de los Santos,0,3,0,3,3,14,4.5,2.57,3.21,0.365,0.5,0.393,0.3570 ,11.57,8.11,4.85,-0.3,1203
2003,Carlos Reyes,0,3,0,3,3,16.2,2.16,2.7,3.24,0.228,0.641,0.387,0.2220 ,7.56,8.13,5.81,-0.4,1721
2002,Travis Harper,2,4,0,7,7,31.1,4.88,3.16,2.3,0.312,0.628,0.368,0.1600 ,8.33,6.82,5.71,-0.4,1211
2004,Todd Ritchie,0,2,0,2,2,6,4.5,7.5,6,0.333,0.702,0.44,0.4000 ,12,13.72,7.42,-0.4,253
2001,Travis Harper,0,2,0,2,2,7,2.57,3.86,6.43,0.385,0.636,,,7.71,13.05,,-0.4,1211
2005,Dewon Brazelton,1,7,0,8,8,42,5.36,6.21,1.93,0.278,0.668,0.326,0.1300 ,6.43,6.83,6.31,-0.5,1195
2003,Steve Parris,0,3,0,7,7,36,3.25,2.75,2.75,0.273,0.745,0.336,0.1900 ,6.25,7.2,5.58,-0.5,1316
2003,Nick Bierbrodt,0,2,0,5,5,15.1,4.11,5.87,3.52,0.448,0.455,0.397,0.2400 ,16.43,9.55,6.84,-0.6,1194
2000,Dwight Gooden,2,3,0,8,8,36.2,5.65,4.91,3.44,0.292,0.754,,,6.63,8.73,,-0.8,1004852
2011,Andy Sonnanstine,0,2,0,4,4,18.1,2.95,4.91,3.93,0.242,0.79,0.426,0.3080 ,7.85,9.84,5.95,-0.8,7667
2004,Doug Waechter,5,7,0,14,14,70.1,4.61,4.22,2.56,0.222,0.662,0.301,0.1520 ,6.01,7.3,6.27,-0.9,1814
1998,Dennis Springer,3,11,0,17,17,93,3.58,4.84,1.94,0.27,0.704,,,6,7.07,,-1.1,672
